         3576813 function calls (3520281 primitive calls) in 30.587 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  502/501    0.002    0.000    0.011    0.000 transforms.py:1059(get_points)
        1    0.002    0.002    0.002    0.002 tkagg.py:1(<module>)
     2269    0.002    0.000    0.082    0.000 markers.py:167(__init__)
     4192    0.002    0.000    0.008    0.000 artist.py:193(convert_yunits)
     1129    0.002    0.000    0.007    0.000 text.py:851(get_unitless_position)
    22716    0.002    0.000    0.002    0.000 font_manager.py:754(get_weight)
1753/1731    0.002    0.000    0.009    0.000 transforms.py:2261(get_affine)
      353    0.002    0.000    0.008    0.000 ticker.py:1862(_staircase)
      368    0.002    0.000    0.014    0.000 core.py:2998(__array_wrap__)
        1    0.002    0.002    0.003    0.003 Tkinter.py:31(<module>)
      117    0.002    0.000    0.011    0.000 six.py:209(exec_)
        1    0.002    0.002    0.483    0.483 main.py:19(<module>)
      133    0.002    0.000    0.019    0.000 transforms.py:718(union)
     4313    0.002    0.000    0.004    0.000 pyparsing.py:340(__new__)
     1603    0.002    0.000    0.006    0.000 fromnumeric.py:2323(amin)
        1    0.002    0.002    0.043    0.043 backend_bases.py:33(<module>)
    18125    0.002    0.000    0.002    0.000 font_manager.py:1168(score_variant)
       96    0.002    0.000    0.057    0.001 _distn_infrastructure.py:1487(__init__)
      149    0.002    0.000    0.356    0.002 backend_bases.py:1961(motion_notify_event)
      337    0.002    0.000    0.037    0.000 axis.py:528(_get_text1)
      132    0.002    0.000    0.338    0.003 axis.py:742(cla)
      269    0.002    0.000    0.032    0.000 artist.py:658(set_clip_path)
     2242    0.002    0.000    0.004    0.000 lines.py:1201(set_xdata)
    11371    0.002    0.000    0.002    0.000 collections.py:90(__iter__)
     5485    0.002    0.000    0.002    0.000 {max}
      686    0.002    0.000    0.004    0.000 functools_lru_cache.py:37(_make_key)
      239    0.002    0.000    0.003    0.000 Tkinter.py:1226(_root)
      406    0.002    0.000    0.004    0.000 core.py:3375(__setmask__)
     1319    0.002    0.000    0.040    0.000 transforms.py:2453(transform_affine)
      234    0.002    0.000    0.056    0.000 axis.py:464(_get_gridline)
      709    0.002    0.000    0.008    0.000 axis.py:602(update_position)
      978    0.002    0.000    0.002    0.000 {numpy.core.multiarray.where}
  337/315    0.002    0.000    0.079    0.000 axis.py:558(_get_tick1line)
      472    0.002    0.000    0.265    0.001 _base.py:2019(in_axes)
     1744    0.002    0.000    0.003    0.000 lines.py:1190(set_markersize)
        1    0.002    0.002    0.010    0.010 Image.py:27(<module>)
    18152    0.002    0.000    0.002    0.000 font_manager.py:771(get_size)
      276    0.002    0.000    0.062    0.000 __init__.py:208(__call__)
  337/293    0.002    0.000    0.286    0.001 axis.py:2092(_get_tick)
      174    0.002    0.000    0.002    0.000 transforms.py:411(height)
      555    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
     2855    0.002    0.000    0.011    0.000 axis.py:309(_set_artist_props)
  337/315    0.002    0.000    0.072    0.000 axis.py:573(_get_tick2line)
      457    0.002    0.000    0.002    0.000 {built-in method getboolean}
 2154/954    0.002    0.000    0.041    0.000 _base.py:681(get_xaxis_transform)
        1    0.002    0.002    0.014    0.014 _axes.py:1(<module>)
     1744    0.002    0.000    0.003    0.000 lines.py:1154(set_markeredgewidth)
      674    0.002    0.000    0.202    0.000 axis.py:913(iter_ticks)
      895    0.002    0.000    0.003    0.000 inspect.py:743(getargs)
      927    0.002    0.000    0.002    0.000 {sorted}
        2    0.002    0.001    0.002    0.001 {posix.fork}
     3638    0.002    0.000    0.003    0.000 __init__.py:518(iterable)
      176    0.002    0.000    0.006    0.000 ticker.py:1843(_validate_steps)
      181    0.002    0.000    0.003    0.000 transforms.py:2872(nonsingular)
     1887    0.002    0.000    0.007    0.000 core.py:1640(make_mask_none)
     1775    0.002    0.000    0.003    0.000 lines.py:625(axes)
    10778    0.002    0.000    0.003    0.000 mathtext.py:2764(<genexpr>)
 1651/719    0.002    0.000    0.008    0.000 transforms.py:2407(_invalidate_internal)
        1    0.002    0.002    0.098    0.098 __init__.py:292(<module>)
      234    0.002    0.000    0.033    0.000 axis.py:405(_get_text1)
     1624    0.002    0.000    0.005    0.000 fromnumeric.py:2222(amax)
6981/6856    0.002    0.000    0.003    0.000 {issubclass}
     2032    0.002    0.000    0.006    0.000 castgraph.py:42(insert)
     7789    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     2629    0.002    0.000    0.003    0.000 lines.py:1211(set_ydata)
       84    0.002    0.000    0.020    0.000 _base.py:2288(handle_single_axis)
     1539    0.002    0.000    0.008    0.000 fromnumeric.py:50(_wrapfunc)
        1    0.002    0.002    0.089    0.089 backend_agg.py:21(<module>)
       70    0.002    0.000    1.537    0.022 axis.py:1125(draw)
      525    0.002    0.000    0.016    0.000 lines.py:1234(update_from)
        1    0.002    0.002    0.002    0.002 csr.py:1(<module>)
      425    0.002    0.000    0.014    0.000 core.py:4530(reshape)
       11    0.002    0.000    0.006    0.001 artist.py:1166(_get_setters_and_targets)
      368    0.002    0.000    0.004    0.000 core.py:862(__call__)
      466    0.002    0.000    0.008    0.000 core.py:3056(view)
      109    0.002    0.000    0.014    0.000 _distn_infrastructure.py:626(_construct_argparser)
     1131    0.002    0.000    0.004    0.000 shape_base.py:11(atleast_1d)
      406    0.002    0.000    0.025    0.000 core.py:1825(masked_where)
  395/153    0.002    0.000    0.055    0.000 sre_parse.py:336(_parse_sub)
  234/212    0.002    0.000    0.067    0.000 axis.py:438(_get_tick1line)
      337    0.002    0.000    0.031    0.000 axis.py:543(_get_text2)
     1744    0.002    0.000    0.003    0.000 lines.py:968(set_antialiased)
      155    0.002    0.000    0.345    0.002 backend_bases.py:1628(__init__)
      219    0.002    0.000    0.002    0.000 __init__.py:1145(__setitem__)
        1    0.002    0.002    0.006    0.006 contour.py:3(<module>)
        1    0.002    0.002    0.011    0.011 widgets.py:10(<module>)
     5030    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
      310    0.002    0.000    0.015    0.000 {__import__}
     2335    0.002    0.000    0.002    0.000 pyparsing.py:1328(preParse)
        4    0.002    0.000    0.002    0.000 {_ctypes.dlopen}
