         5576685 function calls (5385459 primitive calls) in 33.586 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12758    0.002    0.000    0.002    0.000 {method 'iteritems' of 'dict' objects}
     2227    0.002    0.000    0.004    0.000 markers.py:226(set_fillstyle)
     2294    0.002    0.000    0.016    0.000 instructions.py:160(__init__)
     6455    0.002    0.000    0.002    0.000 core.py:88(void)
     2089    0.002    0.000    0.004    0.000 core.py:1307(_replace_dtype_fields)
     2360    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
    22620    0.002    0.000    0.002    0.000 font_manager.py:739(get_style)
      284    0.002    0.000    0.005    0.000 transforms.py:689(translated)
      187    0.002    0.000    0.004    0.000 cycler.py:349(by_key)
        2    0.002    0.001    0.003    0.001 templates.py:513(do_class_init)
      330    0.002    0.000    0.066    0.000 axis.py:587(_get_gridline)
      159    0.002    0.000    0.473    0.003 backend_bases.py:1961(motion_notify_event)
      248    0.002    0.000    0.004    0.000 Tkinter.py:1226(_root)
     6176    0.002    0.000    0.022    0.000 _methods.py:37(_any)
      809    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
     4313    0.002    0.000    0.004    0.000 pyparsing.py:340(__new__)
     1714    0.002    0.000    0.004    0.000 lines.py:1397(set_solid_capstyle)
4539/4532    0.002    0.000    0.006    0.000 transforms.py:1773(__eq__)
     7218    0.002    0.000    0.002    0.000 instructions.py:97(args)
  502/501    0.002    0.000    0.011    0.000 transforms.py:1059(get_points)
     3671    0.002    0.000    0.004    0.000 lines.py:63(_scale_dashes)
     2688    0.002    0.000    0.005    0.000 errors.py:239(new_error_context)
      423    0.002    0.000    0.015    0.000 core.py:2998(__array_wrap__)
     1714    0.002    0.000    0.007    0.000 lines.py:721(set_transform)
      400    0.002    0.000    0.691    0.002 backend_agg.py:214(get_text_width_height_descent)
      182    0.002    0.000    0.003    0.000 transforms.py:411(height)
1708/1694    0.002    0.000    0.009    0.000 transforms.py:2261(get_affine)
      117    0.002    0.000    0.011    0.000 six.py:209(exec_)
     1141    0.002    0.000    0.007    0.000 instructions.py:411(descr)
        1    0.002    0.002    0.043    0.043 backend_bases.py:33(<module>)
      354    0.002    0.000    0.015    0.000 ticker.py:1870(set_params)
        1    0.002    0.002    0.002    0.002 tkagg.py:1(<module>)
     6083    0.002    0.000    0.025    0.000 manager.py:35(__getitem__)
     1714    0.002    0.000    0.003    0.000 lines.py:1357(set_solid_joinstyle)
      555    0.002    0.000    0.139    0.000 transforms.py:2787(_revalidate)
     2227    0.002    0.000    0.073    0.000 markers.py:167(__init__)
      125    0.002    0.000    0.018    0.000 transforms.py:718(union)
    18125    0.002    0.000    0.002    0.000 font_manager.py:1224(score_size)
  620/483    0.002    0.000    0.006    0.000 units.py:124(get_converter)
